video_id,comment_count,sentiment_mean,sentiment_median,sentiment_std,positive_ratio,negative_ratio,rating,revenue,success
HYXTqEAp5gY,18,0.21600555555555553,0.2244,0.44336310105723165,0.5555555555555556,0.16666666666666666,7.2,61.28,0
H_vjoeFJvWw,13,0.2828,0.3612,0.3845741519308511,0.6923076923076923,0.23076923076923078,7.2,71.9,0
Hd5RtFmIs2s,7,0.20948571428571428,0.4588,0.569914813601037,0.5714285714285714,0.14285714285714285,7.5,27.85,0
HimAo-92hNM,21,0.0884,0.0,0.4702253853206992,0.38095238095238093,0.23809523809523808,6.7,7.22,0
I8bYHRxT1DM,10,0.2133,0.29895,0.3210508405567913,0.7,0.1,7.9,48.02,0
JSsdX8UNuhA,15,0.06530666666666667,0.0,0.3513082294726927,0.26666666666666666,0.13333333333333333,7.0,100.01,0
JkmTxU8AteU,10,0.17053000000000001,0.0311,0.4485332517092672,0.5,0.1,7.0,0.66,0
JtPBo5k7VSk,34,0.20340882352941175,0.0,0.3882836438759741,0.47058823529411764,0.08823529411764706,6.0,5.77,0
KBWuSN-tTR4,5,0.22152,0.0,0.303328752346361,0.4,0.0,6.6,18.71,0
KN-87JrppgM,3,0.29973333333333335,0.4404,0.2597396645361146,0.6666666666666666,0.0,7.4,36.25,0
Kt2fFzqZHic,6,0.05465,0.0,0.42713077505607105,0.3333333333333333,0.16666666666666666,6.8,200.07,0
LG719PXis2o,20,0.16087500000000002,0.0605,0.4196828738527022,0.5,0.15,5.3,128.34,0
LO7Bn3QnZ-E,100,0.305021,0.3612,0.4305428263391706,0.54,0.08,7.2,270.32,0
LOqUMuCm800,20,0.016659999999999994,0.0,0.4492847630576731,0.4,0.4,5.1,20.75,0
Lu3fEtVI8bg,10,0.37161,0.34255,0.34882359581886085,0.7,0.0,7.3,21.48,0
M9cTqkXTl7s,73,0.015500000000000005,0.0,0.48022729919163165,0.410958904109589,0.3013698630136986,7.2,71.9,0
MMbyPhQo75A,100,0.071278,0.0,0.5334361252419368,0.46,0.38,5.9,62.4,0
Mm9IUaNOlIE,1,0.4404,0.4404,,1.0,0.0,6.0,90.35,0
Mr2Q1bF1c4A,5,0.20099999999999998,0.0,0.3583775313827584,0.4,0.0,5.8,17.36,0
N0nlyULfIB4,65,0.2004,0.0,0.3813098420248289,0.4,0.07692307692307693,6.9,72.66,0
N10mH0qHPhg,12,0.17383333333333337,0.2064,0.4850563122572534,0.5833333333333334,0.16666666666666666,6.7,330.25,0
N4-zTGSRicY,7,0.10564285714285715,0.0,0.3416867808248897,0.2857142857142857,0.14285714285714285,5.8,54.73,0
NBuf__icGCQ,54,0.06236111111111112,0.0,0.47495481827487096,0.4074074074074074,0.2962962962962963,7.9,532.17,1
NFYn-MxHLl8,2,0.29295,0.29295,0.4142938630971982,0.5,0.0,7.0,652.18,1
NMDNYYTQQMQ,10,0.10371000000000001,0.0,0.3609802778546219,0.3,0.1,7.9,532.17,1
NWkLNgYbIL4,31,0.17535161290322582,0.0,0.44756223989591115,0.41935483870967744,0.16129032258064516,6.4,227.95,0
NcZYGf-TGGs,2,-0.7737,-0.7737,0.26558930701366723,0.0,1.0,7.1,43.77,0
NdJ4GrmnqJs,12,0.40173333333333333,0.4654,0.32164843126204323,0.6666666666666666,0.0,6.3,60.31,0
NeLfesDvIig,5,0.25704000000000005,0.0,0.37519547971690703,0.4,0.0,5.8,54.73,0
NkP6M7oKzTs,44,0.08055681818181819,0.0,0.5015315457155014,0.4318181818181818,0.2727272727272727,6.7,330.25,0
NrZEw3ks2pc,8,0.0205375,0.0,0.5183494627524121,0.25,0.25,7.5,125.07,0
O7ydo8xurwY,61,0.04440327868852459,0.0,0.47692253178310245,0.36065573770491804,0.2459016393442623,7.8,54.12,0
OF0WA9t6jjg,2,0.0,0.0,0.0,0.0,0.0,4.7,28.84,0
OHTN1T4DDbU,32,-0.059640624999999996,0.0,0.44754926768574693,0.25,0.28125,7.9,532.17,1
OVjidTvD0zc,71,0.09024507042253523,0.0,0.4470772847182759,0.4084507042253521,0.28169014084507044,6.2,77.04,0
Oq3jhM-oNRg,6,0.19486666666666666,0.22555,0.3684356533598054,0.6666666666666666,0.16666666666666666,6.7,9.24,0
P2iST1UkQzk,8,0.4175875,0.47014999999999996,0.21854883362436742,0.875,0.0,5.9,54.01,0
P4aGblzSpPY,28,0.22790714285714284,0.07655,0.3906259420644725,0.5,0.10714285714285714,6.7,87.24,0
PJf1Qb93Vac,15,0.25727333333333335,0.0,0.35208485476143525,0.4666666666666667,0.0,6.8,76.2,0
PKH0Ed2WPOU,100,0.11412900000000001,0.0,0.43859247053627254,0.43,0.23,4.9,0.03,0
PTT8tdNGGmA,12,0.31051666666666666,0.2143,0.47400153592642086,0.5833333333333334,0.08333333333333333,7.5,234.02,1
Q3iwM7YQlh8,83,0.1618012048192771,0.0,0.4776128477287894,0.43373493975903615,0.21686746987951808,7.1,2.02,0
Q47LiTyShq4,100,0.13573000000000002,0.0,0.49226048567559816,0.46,0.31,5.3,128.34,0
QL3_kkeihUo,8,0.24525,0.1114,0.2919896035331199,0.5,0.0,7.8,169.27,0
QSmofO_T7Ds,100,0.11067500000000001,0.23220000000000002,0.5486301625205022,0.56,0.34,5.3,128.34,0
Qp3oyQd75Pk,31,0.0493967741935484,0.0,0.42561608716766564,0.3225806451612903,0.3225806451612903,6.4,93.95,0
QuGmtoQBPEM,51,0.2205941176470588,0.4848,0.5653710358381528,0.5882352941176471,0.2549019607843137,7.1,66.01,0
R69Bfd3VRbc,12,0.319725,0.21075,0.4877816335671676,0.5,0.08333333333333333,7.0,100.01,0
